X In-Phase_x,X In-Phase_y,X Quadrature_x,X Quadrature_y,Y In-Phase_x,Y In-Phase_y,Y Quadrature_x,Y Quadrature_y,Z In-Phase_x,Z In-Phase_y,Z Quadrature_x,Z Quadrature_y
24.5699679852,1.1942291389,24.5699679852,-0.0000672428,24.5699679852,2.4386457218,24.5699679852,-0.000110358,24.5699679852,-1.3324773060,24.5699679852,-0.0000598961
24.7588241100,1.1942649408,24.7588241100,-0.0000555847,24.7588241100,2.4387228609,24.7588241100,-0.0001114016,24.7588241100,-1.3324934713,24.7588241100,-0.000043747
24.9487559795,1.1942075562,24.9487559795,0.0000392949,24.9487559795,2.4387520191,24.9487559795,0.0000424234,24.9487559795,-1.3324450152,24.9487559795,0.0000344434
25.1419010162,1.1942142624,25.1419010162,0.0000110599,25.1419010162,2.4383417754,25.1419010162,0.0000317772,25.1419010162,-1.3324422490,25.1419010162,-0.0000115276
25.3317570686,1.194204067,25.3317570686,0.0000285226,25.3317570686,2.4387566945,25.3317570686,-0.0000033095,25.3317570686,-1.3324023878,25.3317570686,0.0000214572
25.5279150009,1.1942003116,25.5279150009,-0.0000477494,25.5279150009,2.4383251465,25.5279150009,-0.0000714689,25.5279150009,-1.3324579359,25.5279150009,-0.0000763059
25.7200510502,1.1942072878,25.7200510502,-0.0000203825,25.7200510502,2.4387210809,25.7200510502,-0.0000683060,25.7200510502,-1.3324124631,25.7200510502,-0.0000211425
25.9090161324,1.194212238,25.9090161324,-0.0000238739,25.9090161324,2.4387453107,25.9090161324,-0.0001057136,25.9090161324,-1.3324666623,25.9090161324,-0.0000158354
26.1003439426,1.1941854718,26.1003439426,-0.0000655128,26.1003439426,2.4385707218,26.1003439426,-0.0001410586,26.1003439426,-1.3324371241,26.1003439426,-0.0000912463
26.2932090759,1.1942041004,26.2932090759,-0.0000591012,26.2932090759,2.4387607813,26.2932090759,-0.0001474355,26.2932090759,-1.3324533725,26.2932090759,-0.0000663643
26.4863059521,1.1942108092,26.4863059521,-0.0000940318,26.4863059521,2.4382863676,26.4863059521,-0.0001789492,26.4863059521,-1.3324654112,26.4863059521,-0.0001474108
26.6761789322,1.1942040995,26.6761789322,-0.0000567724,26.6761789322,2.4387793980,26.6761789322,-0.0001498758,26.6761789322,-1.3324274926,26.6761789322,-0.0000632070
26.8678629398,1.1942038438,26.8678629398,-0.0001496363,26.8678629398,2.4382582809,26.8678629398,-0.0002509776,26.8678629398,-1.3324314807,26.8678629398,-0.0001642644
27.0614020824,1.1941927659,27.0614020824,-0.0001083030,27.0614020824,2.438553983,27.0614020824,-0.0002140281,27.0614020824,-1.3324327914,27.0614020824,-0.0001182795
27.2498040199,1.1941840219,27.2498040199,-0.0000800688,27.2498040199,2.4387516021,27.2498040199,-0.0001732898,27.2498040199,-1.3324193170,27.2498040199,-0.0000657494
27.4608650208,1.1968022506,27.4608650208,0.0197771911,27.4608650208,2.4400070384,27.4608650208,0.0395170013,27.4608650208,-1.3301215954,27.4608650208,0.0180388672
27.6517961025,1.1968258331,27.6517961025,0.0197702135,27.6517961025,2.4400081123,27.6517961025,0.039501857,27.6517961025,-1.3301406915,27.6517961025,0.0180264585
27.8389461040,1.1968334195,27.8389461040,0.0197242211,27.8389461040,2.4397331152,27.8389461040,0.0394708971,27.8389461040,-1.330193611,27.8389461040,0.0179584149
28.0269150734,1.1968368751,28.0269150734,0.0198229084,28.0269150734,2.4399737753,28.0269150734,0.0396016234,28.0269150734,-1.3302138890,28.0269150734,0.0180703042
28.2229280472,1.1968360193,28.2229280472,0.019777204,28.2229280472,2.4396453843,28.2229280472,0.0395506049,28.2229280472,-1.3302345748,28.2229280472,0.0179801507
28.4188089371,1.1968389318,28.4188089371,0.0197734207,28.4188089371,2.4399759268,28.4188089371,0.0395233008,28.4188089371,-1.3302232437,28.4188089371,0.0180131552
28.6251161098,1.1968281802,28.6251161098,0.0197224725,28.6251161098,2.4399526093,28.6251161098,0.0394698753,28.6251161098,-1.3301500467,28.6251161098,0.0179387417
28.8156070709,1.1968372126,28.8156070709,0.0197015161,28.8156070709,2.4399626342,28.8156070709,0.0394424506,28.8156070709,-1.3301519930,28.8156070709,0.0179291162
29.0097079277,1.1968142112,29.0097079277,0.0197114050,29.0097079277,2.4399167753,29.0097079277,0.0395140479,29.0097079277,-1.3301722922,29.0097079277,0.0179207718
29.1941120625,1.1968250033,29.1941120625,0.0196560984,29.1941120625,2.4398222978,29.1941120625,0.0394392144,29.1941120625,-1.330168567,29.1941120625,0.0178657851
29.3898200989,1.1969686125,29.3898200989,0.000088794,29.3898200989,2.4402423053,29.3898200989,0.0001284972,29.3898200989,-1.3302438284,29.3898200989,0.0000944965
29.5826909542,1.1969733911,29.5826909542,0.0000418427,29.5826909542,2.4400129917,29.5826909542,0.0000689340,29.5826909542,-1.3302489557,29.5826909542,0.0000387624
29.7740681171,1.1969876427,29.7740681171,0.0000590829,29.7740681171,2.4403368938,29.7740681171,0.0000212860,29.7740681171,-1.3302479696,29.7740681171,0.0000973133
